localid,Language,label,description,definition
sub_strutt,it,Struttura del substrato,"Geologia, Struttura del substrato","4.3.2 Geologia, Struttura del substrato - Tabella 4.16, p. 168. https://doi.org/10.5281/zenodo.7589089"
sub_strutt,en,Substrate Structure,Substrate Structure,"4.3.2 Geology, Substrate Structure - Table 4.16, p. 168. https://doi.org/10.5281/zenodo.7589089"
