localid,Language,label,description,definition
inondaz_durata,it,"Inondazione, durata","Rischio di inondazione, Durata","4.5.2 Rischio di inondazione, Durata - Tabella 4.89, p. 224. https://doi.org/10.5281/zenodo.7589089"
inondaz_durata,en,"Flooding, Duration","Flooding, Duration","4.5.2 Flood Risk, Duration - Table 4.89, p. 224. https://doi.org/10.5281/zenodo.7589089"
