localid,Language,label,description,definition
screz_loc,it,"Screziature, localizzazione","Figure redox e litocromie, Tipo e localizzazione","4.4.5 Figure redox e litocromie, Tipo e localizzazione - Tabella 4.41, p. 190. https://doi.org/10.5281/zenodo.7589089"
screz_loc,en,Mottles Localization,"Redox Features and Lithochromies, Type and Localization","4.4.5 Redox Features and Lithochromies, Type and Localization - Table 4.41, p. 190. https://doi.org/10.5281/zenodo.7589089"
