localid,Language,label,description,definition,isEquivalentTo
eros_real,it,"Erosione, tipo",Erosione reale,"4.3.1 Erosione e deposizione, Erosione reale: tipo e intensit… - Tabella 4.11, p. 161. https://doi.org/10.5281/zenodo.7589089",http://w3id.org/glosis/model/codelists/ErosionCategoryValueCode
eros_real,en,"Erosion, type","Erosion and Deposition, Actual Erosion: Type and Intensity","4.3.1 Erosion and Deposition, Actual Erosion: Type and Intensity - Table 4.11, p. 161. https://doi.org/10.5281/zenodo.7589089",http://w3id.org/glosis/model/codelists/ErosionCategoryValueCode
