localid,Language,label,description,definition,isEquivalentTo
elem_morf,it,"Morfometria, Elemento",Elemento morfologico,"4.3.1 Morfometria e fisiografia, Elemento morfologico - Tabella 4.10, p. 160. https://doi.org/10.5281/zenodo.7589089",http://w3id.org/glosis/model/codelists/LandformComplexValueCode
elem_morf,en,"Morphometry, Element","Morphometry and Physiography, Morphological Element","4.3.1 Morphometry and Physiography, Morphological Element - Table 4.10, p. 160. https://doi.org/10.5281/zenodo.7589089",http://w3id.org/glosis/model/codelists/LandformComplexValueCode
