localid,Language,label,description,definition
gest_acque_sc,it,"Gestione delle acque, scopo","Gestione delle acque, Scopo","4.5.7 Gestione delle acque, Scopo - Tabella 4.96, p. 227. https://doi.org/10.5281/zenodo.7589089"
gest_acque_sc,en,"Water Management, Purpose","Water Management, Purpose","4.5.7 Water Management, Purpose - Table 4.96, p. 227. https://doi.org/10.5281/zenodo.7589089"
