localid,Language,label,description,definition
litol_qual,it,Qualit… dei materiali,Codifica dei materiali minerali e organici,"4.3.2 Qualit… dei materiali minerali e organici - Tabelle 4.19 e 4.20, p. 169. https://doi.org/10.5281/zenodo.7589089"
litol_qual,en,Material quality,Quality of Mineral and Organic Materials,"4.3.2 Quality of Mineral and Organic Materials - Tables 4.19 and 4.20, p. 169. https://doi.org/10.5281/zenodo.7589089"
