localid,Language,label,description,definition
rel_strutture,it,"Struttura, Relazione ","Struttura, Relazione fra la struttura primaria e la struttura","4.4.10 Struttura, Relazione fra la struttura primaria e la struttura - Tabella 4.60, p.206. https://doi.org/10.5281/zenodo.7589089"
rel_strutture,en,"Structure, Relations","Structure, Relation between Primary Structure and Structure","4.4.10 Structure, Relation between Primary Structure and Structure - Table 4.60, p. 206. https://doi.org/10.5281/zenodo.7589089"
