localid,Language,label,description,definition
pori_dimens,it,"Pori, dimensioni","Pori, dimensioni","4.4.13 Vuoti, Pori, Dimensioni - Tabella 4.66, p. 211. https://doi.org/10.5281/zenodo.7589089"
pori_dimens,en,"Pores, Size","Voids, Pores, Size","4.4.13 Voids, Pores, Size - Table 4.66, p. 211. https://doi.org/10.5281/zenodo.7589089"
