localid,Language,label,description,definition
radici_andamento,it,"Radici, andamento",Andamento delle radici,"4.4.16 Radici. Andamento - Tabella 4.77, p. 214. https://doi.org/10.5281/zenodo.7589089"
radici_andamento,en,"Roots, Pattern",Root Pattern,"4.4.16 Roots, Pattern - Table 4.77, p. 214. https://doi.org/10.5281/zenodo.7589089"
