localid,Language,label,description,definition
tipo_screz,it,"Screziature, tipo","Figure redox e litocromie, Tipo e localizzazione","4.4.5 Figure redox e litocromie, Tipo e localizzazione, p. 190. https://doi.org/10.5281/zenodo.7589089"
tipo_screz,en,Mottles Type,"Redox Features and Lithochromies, Type and Localization","4.4.5 Redox Features and Lithochromies, Type and Localization, p. 190. https://doi.org/10.5281/zenodo.7589089"
