localid,Language,label,description,definition,isEquivalentTo
copert_veget,it,Grado di copertura,Percentuale della copertura della stazione da parte della vegetazione,"4.3.3 Uso del suolo e vegetazione, Grado di copertura della vegetazione - Tabella 4.27, p. 178. https://doi.org/10.5281/zenodo.7589089",https://agroportal.lirmm.fr/ontologies/GACS/C5124
copert_veget,en,Vegetation - tree density,"Land Use and Vegetation, Vegetation Coverage Degree","4.3.3 Land Use and Vegetation, Vegetation Coverage Degree - Table 4.27, p. 178. https://doi.org/10.5281/zenodo.7589089",https://agroportal.lirmm.fr/ontologies/GACS/C5124
