localid,Language,label,description,definition
col_det,it,"Colore, determinazione","Colore della massa, Modalit… di determinazione e localizzazione","4.4.4 Colore della massa, Modalit… di determinazione e localizzazione - Tabella 4.39, p. 188. https://doi.org/10.5281/zenodo.7589089"
col_det,en,"Color, Determination","Mass Color, Determination Method and Localization","4.4.4 Mass Color, Determination Method and Localization - Table 4.39, p. 188. https://doi.org/10.5281/zenodo.7589089"
