localid,Language,label,description,definition
morfo_st,it,Fisiografia,Fisiografia dei sistemi di terre,"2.7 I codici geografici. Fisiografia dei sistemi di terre - Tabella 2.12, p. 51. https://doi.org/10.5281/zenodo.7589089"
morfo_st,en,Physiography,Geographic Codes. Physiography of Land Systems,"2.7 Geographic Codes. Physiography of Land Systems - Table 2.12, p. 51. https://doi.org/10.5281/zenodo.7589089"
