localid,Language,label,description,definition,isEquivalentTo
conc_quant,it,"Concentrazioni, abbondanza","Concentrazioni, Abbondanza","4.4.12 Concentrazioni, Abbondanza - Tabella 4.63, p. 209. https://doi.org/10.5281/zenodo.7589089",http://w3id.org/glosis/model/codelists/MineralConcVolumeValueCode
conc_quant,en,"Concentrations, Abundance","Concentrations, Abundance","4.4.12 Concentrations, Abundance - Table 4.63, p. 209. https://doi.org/10.5281/zenodo.7589089",http://w3id.org/glosis/model/codelists/MineralConcVolumeValueCode
