localid,Language,label,description,definition
prof_ut_lim,it,"Radici, Limitazione",Limitazione all'approfondimento radicale,"4.5.5 Limitazioni ed impedimenti all?approfondimento delle radici - Tabella 4.93, p. 225. https://doi.org/10.5281/zenodo.7589089"
prof_ut_lim,en,"Root, Limitation",Root Penetration Limitation,"4.5.5 Limitations and Obstacles to Root Penetration - Table 4.93, p. 225. https://doi.org/10.5281/zenodo.7589089"
