localid,Language,label,description,definition
asp_sup,it,Aspetti superficiali,Aspetti superficiali pedologici e biologici,"4.3.4 Caratteri di superficie. Aspetti superficiali, Pedologici e biologici - Tabella 4.28, p. 179. https://doi.org/10.5281/zenodo.7589089"
asp_sup,en,pedobiological Surface Features,Surface Pedological and Biological Features,"4.3.4 Surface Features, Surface Pedological and Biological Aspects - Table 4.28, p. 179. https://doi.org/10.5281/zenodo.7589089"
