localid,Language,label,description,definition
pell_spess,it,"Pellicole, spessore",Spessore delle pellicole,"4.4.14 Pellicole, spessore - Tabella 4.71, p. 212. https://doi.org/10.5281/zenodo.7589089"
pell_spess,en,Coatings Thickness,Coatings Thickness,"4.4.14 Films, Thickness - Table 4.71, p. 212. https://doi.org/10.5281/zenodo.7589089"
