localid,Language,label,description,definition,isEquivalentTo
profondita,it,Profondit… utile,Profondit… utile alle radici,"4.5.4 Profondit… utile alle radici - Tabella 4.92, p. 225. https://doi.org/10.5281/zenodo.7589089",https://agroportal.lirmm.fr/ontologies/AWS/root_depth
profondita,en,Root-Accessible Depth,Root-Accessible Depth,"4.5.4 Root-Accessible Depth - Table 4.92, p. 225. https://doi.org/10.5281/zenodo.7589089",https://agroportal.lirmm.fr/ontologies/AWS/root_depth
