localid,Language,label,description,definition,isEquivalentTo
fessur_dim,it,"Fessure, dimensioni","Vuoti, Fessure, Dimensioni","4.4.13 Vuoti, Fessure, Dimensioni - Tabella 4.68, p. 211. https://doi.org/10.5281/zenodo.7589089",http://w3id.org/glosis/model/codelists/CracksWidthValueCode
fessur_dim,en,"Cracks, Size","Voids, Cracks, Size","4.4.13 Voids, Cracks, Size - Table 4.68, p. 211. https://doi.org/10.5281/zenodo.7589089",http://w3id.org/glosis/model/codelists/CracksWidthValueCode
